Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-RIBA-4624;21;16;08;43;10;40;skyware;36180-000;" RUA CORONEL FRANCISCO VIEIRA 307 ROSÁRIO";;;"RIO POMBA";"SL 2000";;;Lider
SES-RIIS-4625;21;01;31;44;19;59;skyware;36335-000;" RUA FREI GOTARDO BOOM S/N CENTRO";;;RITÁPOLIS;"SL 2000";;;Lider
SES-RORA-5540;20;57;53;42;31;27;skyware;36878-000;"Fazenda Vida Nova S/N";;;"ROSÁRIO DA LIMEIRA";"SL 2000";;;Lider
SES-SARA-4166;19;53;12;43;56;09;skyware;34535-100;" ROD. MG 5";" 977 ";" BAIRRO 	ALVORADA";SABARÁ;"SL 4033";;;Vodanet
"SES-SARA-4178 ";19;53;16;43;49;37;skyware;34500-000;"RUA TOMÉ DE SOUZA";" 104 ";" ROSARIO I";SABARÁ;"SL 4033";;;Vodanet
SES-SARA-5541;19;48;49;43;45;17;skyware;34740-000;"Rua Fiertague";" s/n ";;SABARÁ;"SL 4033";;;Vodanet
SES-SAIA-3250;19;48;33;43;53;22;skyware;33040-130;"Rua Remo Salvo";" 389 ";" Santa Rita";"SANTA LUZIA";"SL 4033";;;Vodanet
SES-SAAI-5026;22;13;35;45;42;54;skyware;37540-000;"Rua 3";" Nº 10";;"SANTA RITA DO SAPUCAÍ";"SL 2000";;;Lider
SES-SAEI-5510;21;08;30;44;13;38;skyware;36305-326;"Rua Édipo Monteiro Castanheiras";" 675";;"SÃO JOÃO DEL REI";"SL 2000";;;Lider
SES-SASO-4484;15;18;12;42;01;03;skyware;39540-000;"RUA IRINEU MENDES MOUTINHO";" Nº 126";;"SÃO JOÃO DO PARAÍSO";"SL 2000";;;Lider
SES-SASO-4485;15;19;07;42;01;21;patriot;39540-000;"RUA MATO GROSSO";" SN";;"SÃO JOÃO DO PARAÍSO";"SL 2000";;;Lider
SES-SARA-3594;18;19;28;42;08;36;skyware;39785-000;"Rua Senhora Aparecida";" 43";;"SÃO JOSÉ DA SAFIRA";"SL 2000";;;Vodanet
SES-SARE-4358;22;19;59;45;31;40;skyware;37510-000;" 	RUA PROFESSORA CLARINDA DE ALMEIDA";" 48";;"SÃO JOSÉ DO ALEGRE";"SL 2000";;;Lider
SES-SADE-4640;21;13;08;44;58;45;skyware;37467-000;" RUA PADRE JOSÉ FERREIRA LEITE nº 395 CENTRO";;;"SÃO SEBASTIÃO DO RIO VERDE";"SL 2000";;;Lider
SES-SADO-4237;19;59;25;44;02;08;skyware;32450-000;"RUA JOSÉ BATISTA";" Nº 151";;SARZEDO;"SL 2000";;;Vodanet
SES-SADO-4239;20;01;54;44;08;19;skyware;32450-000;"RUA DAS PALMEIRAS";" Nº 250";;SARZEDO;"SL 2000";;;Vodanet
SES-SADO-4235;20;02;05;44;08;31;skyware;32450-000;" ROD. MG 040";" S/Nº ";" BAIRRO 	VERA CRUZ";SARZEDO;"SL 2000";;;Vodanet
SES-SADO-4241;20;01;23;44;08;43;skyware;32450-000;"RUA E";" Nº 317";;SARZEDO;"SL 2000";;;Vodanet
SES-SETO-4364;18;54;50;43;04;44;skyware;39745-000;"Rua São Geraldo Nº 12";" bairro São José do Jacaré ";;"SENHORA DO PORTO";"SL 2000";;;Lider
SES-SETO-4363;18;53;10;43;04;58;skyware;39745-000;"Rua das Margaridas ";" Nº200";;"SENHORA DO PORTO";"SL 4033";;;Lider
SES-SEAS-4645;18;21;41;43;10;09;;39165-000;" RUA DEPUTADO FRANCELINO PEREIRA";" nº 376 CENTRO";;"SERRA AZUL DE MINAS";;;;Lider
SES-SEOS-4646;21;53;26;44;30;39;skyware;37452-000;" AV. RUI BARBOSA";" 56 (PROXIMO AO CORREIO) CENTRO";;SERRANOS;"SL 4033";;;Lider
SES-TENI-3675;17;08;37;41;51;26;skyware;39800000;"Rua Rachid Handere ";" n519";;"TEÓFILO OTONI";"SL 2000";;;Lider
SES-TIES-4647;21;06;31;44;10;43;skyware;36325-000;" RUA: FREI VELOSO";" nº 270 ";" PACU";TIRADENTES;"SL 2000";;;Lider
SES-TURA-4370;18;36;20;48;41;48;skyware;38430-000;"RUA GETÚLIO VARGAS Nº 240";;;TUPACIGUARA;"SL 4033";;;Lider
SES-TURA-4368;18;36;26;48;40;44;skyware;38430-000;"RUA FRANCISCO DE PAULO LAMOUNIER S/Nº ";;;TUPACIGUARA;"SL 4033";;;Lider
